Model,Accuracy,Precision,Recall,F1-Score
SVM,0.9427430093209055,0.9095609852309253,0.9427430093209055,0.9190577162038098
Logistic Regression,0.939636040834443,0.9037033177639536,0.939636040834443,0.9119995790016898
Naive Bayes,0.9387483355525965,0.8812484375027704,0.9387483355525965,0.9090900776985997
